"from","to","value"
"1","2","1"
"2","3","51"
"3","2","52"
"3","4","19"
"2","5","4"
"4","2","6"
"1","6","13"
"4","1","13"
"6","4","9"
"3","6","5"
"2","6","1"
"1","3","1"
"1","2","1"
"2","7","40"
"7","2","37"
"3","7","33"
"7","3","33"
"8","3","10"
"2","8","15"
"7","8","5"
"3","9","8"
"2","9","16"
"3","11","3"
"3","10","33"
"10","3","30"
"2","10","4"
"12","2","10"
"12","10","13"
"12","7","14"
"3","12","7"
"13","2","4"
"12","13","5"
"7","13","8"
"13","3","7"
"2","13","4"
"10","13","11"
"2","14","6"
"3","15","5"
"16","7","4"
"16","2","4"
